episode,reward,agent
541,1,CFR
541,1,Q-Learning
542,1,CFR
542,1,Q-Learning
543,1,CFR
543,1,Q-Learning
544,1,CFR
544,1,Q-Learning
545,1,CFR
545,2,Q-Learning
546,2,CFR
546,1,Q-Learning
547,1,CFR
547,1,Q-Learning
548,-1,CFR
548,2,Q-Learning
549,-1,CFR
549,-1,Q-Learning
550,-2,CFR
550,1,Q-Learning
551,1,CFR
551,1,Q-Learning
552,-1,CFR
552,-1,Q-Learning
553,1,CFR
553,-1,Q-Learning
554,1,CFR
554,1,Q-Learning
555,-1,CFR
555,-2,Q-Learning
556,1,CFR
556,1,Q-Learning
557,-1,CFR
557,1,Q-Learning
558,1,CFR
558,-1,Q-Learning
559,-2,CFR
559,-1,Q-Learning
560,1,CFR
560,1,Q-Learning
561,1,CFR
561,1,Q-Learning
562,1,CFR
562,1,Q-Learning
563,-1,CFR
563,-2,Q-Learning
564,1,CFR
564,1,Q-Learning
565,-1,CFR
565,1,Q-Learning
566,-2,CFR
566,1,Q-Learning
567,-2,CFR
567,-1,Q-Learning
568,1,CFR
568,-2,Q-Learning
569,-1,CFR
569,-2,Q-Learning
570,-2,CFR
570,1,Q-Learning
571,1,CFR
571,-2,Q-Learning
572,-1,CFR
572,1,Q-Learning
573,-1,CFR
573,1,Q-Learning
574,1,CFR
574,-2,Q-Learning
575,1,CFR
575,-1,Q-Learning
576,-1,CFR
576,-1,Q-Learning
577,1,CFR
577,-1,Q-Learning
578,-1,CFR
578,1,Q-Learning
579,1,CFR
579,1,Q-Learning
580,-1,CFR
580,-2,Q-Learning
581,1,CFR
581,1,Q-Learning
582,2,CFR
582,-1,Q-Learning
583,1,CFR
583,-1,Q-Learning
584,-2,CFR
584,-1,Q-Learning
585,1,CFR
585,-1,Q-Learning
586,-1,CFR
586,1,Q-Learning
587,1,CFR
587,-1,Q-Learning
588,1,CFR
588,-1,Q-Learning
589,1,CFR
589,1,Q-Learning
590,-1,CFR
590,1,Q-Learning
591,1,CFR
591,-1,Q-Learning
592,2,CFR
592,-1,Q-Learning
593,-1,CFR
593,-1,Q-Learning
594,-1,CFR
594,1,Q-Learning
595,1,CFR
595,1,Q-Learning
596,-1,CFR
596,-1,Q-Learning
597,1,CFR
597,-1,Q-Learning
598,-1,CFR
598,-1,Q-Learning
599,2,CFR
599,2,Q-Learning
600,1,CFR
600,1,Q-Learning
601,-2,CFR
601,1,Q-Learning
602,-1,CFR
602,-1,Q-Learning
603,2,CFR
603,-1,Q-Learning
604,-1,CFR
604,-1,Q-Learning
605,1,CFR
605,1,Q-Learning
606,-1,CFR
